,y_obs,c_obs,i_obs,n_obs
1980-01-01,0.020590045791403,0.011802433060127626,0.04552882877010589,0.026802730771841254
1980-04-01,-0.005564541668256595,-0.016248710758574703,-0.04747871557271832,0.005086441486064963
1980-07-01,-0.011960624170077594,-0.01067089941655297,-0.11966745946027046,-0.002715984334368926
1980-10-01,0.001365346689860658,-0.0027158971481835437,-0.03446581081841771,0.00761772456922305
1981-01-01,0.015608532617884308,-0.0050396886227161986,0.04997820701631461,0.010477441010782407
1981-04-01,0.0029323686256006454,-0.01090437619392226,0.003264698206782768,0.008436353041086697
1981-07-01,0.009446192904849937,-0.012559621440281887,0.053231848097484935,0.005060016666210032
1981-10-01,-0.007129700855312393,-0.02608329301669876,0.01186175994068872,-0.002203643987605197
1982-01-01,-0.028722019631501894,-0.025843187391121347,-0.09389033969338811,-0.022226001206856694
1982-04-01,-0.030497587782816638,-0.030372078088674925,-0.1021157602112881,-0.020920793702059015
1982-07-01,-0.04110890801877609,-0.03174940719124031,-0.12002216893717144,-0.031684439172829926
1982-10-01,-0.04798683825550576,-0.02292842871810663,-0.21050350501147008,-0.045006394613725575
1983-01-01,-0.042686114289610444,-0.0220974504278999,-0.1878231013990641,-0.043305749212707134
1983-04-01,-0.028476791198354334,-0.011373656083341288,-0.11558220853938206,-0.03646442561990959
1983-07-01,-0.01743487580631964,-0.0034111459025112367,-0.06847594320417638,-0.021810062279636888
1983-10-01,-0.005939850830314342,0.0022696387041545307,0.010040066055360342,-0.008686355608591434
1984-01-01,0.003934370464360626,0.0001456444931289269,0.08761786637576119,0.004518880279545279
1984-04-01,0.011318967533240354,0.0034685227780020256,0.10492640497773831,0.01149796795401059
1984-07-01,0.010977119757223264,0.00012488979360369967,0.11190966410043046,0.009716977851310205
1984-10-01,0.009088236039897168,0.0021758938344937917,0.08491523859826788,0.009988382775670601
1985-01-01,0.008597062686085621,0.008172420612275744,0.04381201552053149,0.011683666355846611
1985-04-01,0.00720818045594207,0.006484697719434607,0.04813115433451198,0.012209778859743281
1985-07-01,0.012234669823978805,0.014547980541902206,0.02952178251715143,0.00875963454555162
1985-10-01,0.009575769767570463,0.006076491405879736,0.05478719773719032,0.00755401047727311
1986-01-01,0.008901829709611064,0.00430032049424689,0.04442484347420805,-2.360160585990201e-05
1986-04-01,0.0035513302133765023,0.004843931931008072,0.017588946415398432,-0.008786525022346225
1986-07-01,0.0033752938489968187,0.012297325741110754,-0.01809857937109438,-0.009687043404598583
1986-10-01,-0.0008070955065608842,0.00856840405577941,-0.022778286469092635,-0.008021594836959522
1987-01-01,-0.0027657052273522,-5.6056750004529476e-05,-0.003108157215890195,-0.0013253866696860683
1987-04-01,-0.0011914616647743514,0.004194666999987717,-0.008864097811009941,-0.0011013322719879426
1987-07-01,-0.001487759020118773,0.006534044967404284,-0.014337925198165458,0.0005549573799603635
1987-10-01,0.0068445360708988545,-5.481589092326544e-05,0.046595997617703055,0.0058006999651265545
1988-01-01,0.0035686091834996603,0.00906730237512221,-0.0069560892578710565,0.0019757631182599766
1988-04-01,0.008468682755720991,0.00834864423725179,0.012820633326984243,0.01150443239276111
1988-07-01,0.00644783233276236,0.00943670986207934,0.01514123282945068,0.01009894561821767
1988-10-01,0.012121324438634673,0.013296296274180719,0.027573663961757866,0.01752869829489434
1989-01-01,0.014976379445048593,0.01078119562005142,0.058693308991003335,0.024150827509599182
1989-04-01,0.015623850834986186,0.008580089717611372,0.04709793014901198,0.025042095585518176
1989-07-01,0.016340567374919956,0.011617785611941045,0.0364808140780033,0.024737256067062674
1989-10-01,0.011914735869078541,0.009588798256050524,0.027576625966746704,0.022536823805775263
1990-01-01,0.016628405417211667,0.011797346840980438,0.03598067079712042,0.023694856915120077
1990-04-01,0.014294272405514619,0.008816811430795823,0.03461930070967778,0.01768495309392737
1990-07-01,0.009151573557209858,0.006847795506397247,0.012975439109404796,0.01098270276291835
1990-10-01,-0.0057120606312377475,-0.006668565577173879,-0.047274883351125396,0.0052918911270740665
1991-01-01,-0.016094229731121956,-0.016333195830389613,-0.08464266679453392,-0.005955263806905364
1991-04-01,-0.014053961116085034,-0.014050758202149183,-0.08921649789888075,-0.013814868925154045
1991-07-01,-0.014824745392420624,-0.015168202121506269,-0.07537025253698726,-0.01656745870306331
1991-10-01,-0.01728413732214662,-0.021916815593819194,-0.047565014156425,-0.02027904061242758
1992-01-01,-0.01148124365814418,-0.00979979987003432,-0.0745748036216094,-0.02841911233894212
1992-04-01,-0.00697665054812191,-0.009667027198734246,-0.029262731084294558,-0.02702809113400395
1992-07-01,-0.0036203042257234586,-0.0058448840621174725,-0.03234980781338326,-0.028503383015291206
1992-10-01,7.154156579147752e-05,-0.0010459536390694524,-0.014552217519161914,-0.02545652318203473
1993-01-01,-0.005157579731049466,-0.004476445084147684,-0.004689560313161145,-0.020672795198942495
1993-04-01,-0.00647242822876315,-0.0028841860022907895,-0.013491913447011505,-0.013748021384865083
1993-07-01,-0.009059244335166028,0.000520594882505776,-0.0358640336582825,-0.012665593924151786
1993-10-01,-0.003124560536427623,0.001404130035862039,-0.00113401643240163,-0.00829859661736343
1994-01-01,-0.0012660916677909029,0.004733590807285637,0.018953636811662733,-0.007500621266509633
1994-04-01,0.004179934348874426,0.004259457912100473,0.04897334033053191,0.0027288552255804177
1994-07-01,0.001785174150075619,0.0034523622151390043,0.013918643133842501,0.008463522309112292
1994-10-01,0.004748391775343919,0.005624193793806853,0.0351313020733004,0.006356403758865703
1995-01-01,-0.0003373304863103499,-0.0006519415603989387,0.026015447041565665,0.0049024488422837464
1995-04-01,-0.00618474930712587,-0.00087158797232334,-0.014948221544022644,-0.0030119993496846575
1995-07-01,-0.006737503146696966,-0.00098940999215813,-0.0412912358795019,0.0019089909062524058
1995-10-01,-0.00918647909703374,-0.0033734025447902383,-0.03747690563766959,-0.002099408138063197
1996-01-01,-0.011124337503439108,-0.0037282510561826854,-0.04255556163995333,-0.0066251724119519295
1996-04-01,-0.004151562565784417,-0.0027651415692435677,-0.016846264185927495,-0.0038250428064880992
1996-07-01,-0.004937049820933126,-0.006668091076164728,0.006253283441467694,-0.0019285945149816186
1996-10-01,-0.0044449601321971954,-0.008872593628597158,-0.01637171299896334,0.0030418178600921664
1997-01-01,-0.007943980527548078,-0.008718031473605947,-0.017549436354216574,0.00558404178365457
1997-04-01,-0.0014259207310356459,-0.014738683746132963,0.02112723443242981,0.004597288380553621
1997-07-01,0.0009565267973350444,-0.008521016844643015,0.014448471355037462,0.005075800954845278
1997-10-01,-0.0005597814408080382,-0.007453568387091991,0.009074305834873897,0.004519656881777578
1998-01-01,-0.0005480540793776356,-0.008308462374484904,0.032711223466844075,0.005731880923139698
1998-04-01,-0.0012306442372835846,-0.0018409305957156619,0.007958003134905134,0.006469316226883848
1998-07-01,0.0014984777412134775,9.936339971439168e-05,0.0159121586451878,0.003747409564439863
1998-10-01,0.007832927483633512,0.0034424567915891657,0.02909102326616697,0.012386053246506101
1999-01-01,0.00774243047367662,0.0027186878426999073,0.04052769235130338,0.007676476320110481
1999-04-01,0.006833915477233887,0.0070732458330695636,0.02635365433647241,0.010384355664286637
1999-07-01,0.011030422870042855,0.007546986777462905,0.0399279658399756,0.014529780652659419
1999-10-01,0.01859700806565634,0.011534741343256272,0.053785056789868335,0.016887591881524777
2000-01-01,0.013794922465956816,0.016210742776033626,0.035319815079261296,0.020231696049368253
2000-04-01,0.023707601391029343,0.015398184788702807,0.0825698256016949,0.022043077584043225
2000-07-01,0.016872205356277092,0.01506368846803774,0.06353380877319204,0.02154265002858491
2000-10-01,0.015232955326862196,0.01413283357781836,0.05720159066545083,0.01769697127003944
2001-01-01,0.004589657101954359,0.008356554697973806,0.002888711835839608,0.01772947536533298
2001-04-01,0.003647423796797611,0.00118475877326496,-0.0027188451072044373,0.008459963246507662
2001-07-01,-0.007385521927501415,-0.004323013129361897,-0.031477101085076065,-0.0028288176290525158
2001-10-01,-0.01155573142844979,0.0028775799744629182,-0.08913111479571079,-0.013516173381860952
2002-01-01,-0.010077220490748218,-0.0035470910685706514,-0.06645501799699538,-0.020792129329917586
2002-04-01,-0.01078842963128146,-0.007013561996950912,-0.057148436815102066,-0.017899720249934248
2002-07-01,-0.013547311732835965,-0.008433310531795968,-0.06551642473131292,-0.020774634980029738
2002-10-01,-0.019144102296321464,-0.011175846869646122,-0.07383334529239516,-0.018687296112867458
2003-01-01,-0.02075158027022006,-0.014455608835111988,-0.07330735269396449,-0.023381634989650735
2003-04-01,-0.018822143699212646,-0.011169926295652388,-0.07464423405219289,-0.026447052131036486
2003-07-01,-0.009229194609405411,-0.005126540296528148,-0.047062697323248415,-0.025049830715748733
2003-10-01,-0.004580521304758278,-0.006147057259131117,-0.021422732668743727,-0.02062366481048361
2004-01-01,-0.005780347440943245,-0.004614409683474818,-0.027458380059790954,-0.016749235556330788
2004-04-01,-0.004836046089318202,-0.006765606319934392,0.0041964483490781745,-0.01640534501201163
2004-07-01,-0.002057903806440109,-0.0025013650521188424,0.013141210913759416,-0.011564020601794844
2004-10-01,0.00158194656348698,0.0015406124384274023,0.02772500059924443,-0.006763576467843535
2005-01-01,0.006298074668547926,0.0009070625030105361,0.05038442564647916,-0.004874827603842391
2005-04-01,0.0051305042393625655,0.005227601787042957,0.03336394952349497,-0.0005809575066875183
2005-07-01,0.007127713751721387,0.007085529774354171,0.04375366282850024,0.0013199750066759108
2005-10-01,0.007161922781577346,0.002843310670604282,0.07386002904355848,0.00732845827423656
2006-01-01,0.01535425221004516,0.00794700319206676,0.08862723916898663,0.01789282382533397
2006-04-01,0.013124912537350042,0.007737245289474615,0.0846060034452929,0.020344292033819933
2006-07-01,0.01018301962053414,0.00913270202193317,0.08405154612711829,0.024729698510511433
2006-10-01,0.014680372490460059,0.014005329852379234,0.0700087097308435,0.030447955990144493
2007-01-01,0.014004042082957469,0.01592081656230704,0.06958650803579225,0.03142020646769339
2007-04-01,0.016794275820506854,0.014691120335520225,0.08640723725937605,0.03770540941698375
2007-07-01,0.0195830972505302,0.017857322710094437,0.08306179040619543,0.037481765854790794
2007-10-01,0.02321666380925258,0.018651209529080504,0.0804751131945336,0.037592278416191505
2008-01-01,0.016596181783743447,0.014448007410905461,0.06210368172305003,0.037390269493167594
2008-04-01,0.020419715174885056,0.014629674361126277,0.054559860513631264,0.035090980644826075
2008-07-01,0.01320561149092292,0.00452712660147192,0.04350897023612177,0.027695595597590383
2008-10-01,-0.010788032029036998,-0.006738999952112579,-0.04987918416046799,0.005530337238963234
2009-01-01,-0.024060662134177235,-0.011436231936034602,-0.16346226923215657,-0.018116944730961038
2009-04-01,-0.027786010607256273,-0.018511337677331596,-0.21794968202676213,-0.039557411677827226
2009-07-01,-0.026360159457395227,-0.014005458525955916,-0.2175048941614719,-0.0491617358627181
2009-10-01,-0.017878693992251726,-0.017398612700672444,-0.12706973653556553,-0.04672527770196844
2010-01-01,-0.015535398477830142,-0.014041697305888334,-0.10676814555329095,-0.04057482362377218
2010-04-01,-0.008635829245225324,-0.0076922522519780046,-0.05880578703983996,-0.03173947422954271
2010-07-01,-0.003933814481509756,-0.0033345474258119623,-0.020671701166941503,-0.026463397170747527
2010-10-01,-0.0019295002039001474,-0.00016076961753341834,-0.030795564567335454,-0.021729914695840513
2011-01-01,-0.007793063172552905,0.0005201748630696557,-0.058720589175854876,-0.020718533788762983
2011-04-01,-0.0047950183048453,-0.001788082895561871,-0.029440367953727176,-0.012077239784045624
2011-07-01,-0.00901523836805218,-0.002301109061761508,-0.037302472490225114,-0.01144971798858041
2011-10-01,-0.002089266522135702,-0.004353144157615674,0.02344010312262501,-0.004609821549502513
2012-01-01,0.0017877457452986079,-0.0011735718336804979,0.030804070958224905,-0.00023632754723212912
2012-04-01,0.00154938623834866,-0.003662474791193304,0.0376632622742461,-0.00243632974042729
2012-07-01,-0.0019079509691728447,-0.006120783014964104,0.024365059530903288,-0.0005933977205421215
2012-10-01,-0.005841527068509933,-0.006869939199692254,-0.0004938131932759049,0.0009314822487596075
2013-01-01,-0.0012930487350271136,-0.005355889272172121,0.02198499715768154,0.0030176074753907045
2013-04-01,-0.004051592738688825,-0.0077029395306791315,0.018308552880197837,0.0023025232952997854
2013-07-01,-0.0011498555561164636,-0.00907075737470997,0.04138278576225396,0.001338285022816521
2013-10-01,0.0018290546921910789,-0.0059374344713809535,0.034626554175553714,-0.0009610431536408726
2014-01-01,-0.007432198926629496,-0.008170956579212074,0.008811269529431343,-0.002329647968541515
2014-04-01,-0.0004845976642151584,-0.004601511380162293,0.03354212178600058,0.0029603332490690804
2014-07-01,0.00564867530322033,-0.0008937649809244164,0.04129482076341873,0.005690179883368174
